"date","prop"
2020-03-04,0.04279453
2020-03-05,0.05007752
2020-03-06,0.29379753
2020-03-07,0.08317221
2020-03-08,0.05403518
2020-03-09,0.05834462
2020-03-10,0.05241987
2020-03-11,0.07265255
2020-03-12,0.06242465
2020-03-13,0.08467269
2020-03-14,0.07743780
2020-03-15,0.07628984
2020-03-16,0.09383598
2020-03-17,0.08181792
2020-03-18,0.13314548
2020-03-19,0.07324564
2020-03-20,0.08923340
2020-03-21,0.06493708
2020-03-22,0.07475998
2020-03-23,0.10697537
2020-03-24,0.18548945
2020-03-25,0.12397290
2020-03-26,0.08007168
2020-03-27,0.09297381
2020-03-28,0.13452859
2020-03-29,0.17636168
2020-03-30,0.19356570
2020-03-31,0.10137050
2020-04-01,0.12284158
2020-04-02,0.09804365