date,location,new_cases,new_deaths,total_cases,total_deaths
2019-12-31,World,27,0,27,0
2020-01-01,World,0,0,27,0
2020-01-02,World,0,0,27,0
2020-01-03,World,17,0,44,0
2020-01-04,World,0,0,44,0
2020-01-05,World,15,0,59,0
2020-01-06,World,0,0,59,0
2020-01-07,World,0,0,59,0
2020-01-08,World,0,0,59,0
2020-01-09,World,0,0,59,0
2020-01-10,World,0,0,59,0
2020-01-11,World,0,1,59,1
2020-01-12,World,0,0,59,1
2020-01-13,World,1,0,60,1
2020-01-14,World,0,0,60,1
2020-01-15,World,1,1,61,2
2020-01-16,World,0,0,61,2
2020-01-17,World,5,0,66,2
2020-01-18,World,17,0,83,2
2020-01-19,World,136,1,219,3
2020-01-20,World,20,0,239,3
2020-01-21,World,153,3,392,6
2020-01-22,World,142,11,534,17
2020-01-23,World,97,0,631,17
2020-01-24,World,266,9,897,26
2020-01-25,World,453,15,1350,41
2020-01-26,World,673,15,2023,56
2020-01-27,World,797,25,2820,81
2020-01-28,World,1767,25,4587,106
2020-01-29,World,1480,26,6067,132
2020-01-30,World,1756,38,7823,170
2020-01-31,World,2003,43,9826,213
2020-02-01,World,2120,46,11946,259
2020-02-02,World,2608,46,14554,305
2020-02-03,World,2818,57,17372,362
2020-02-04,World,3243,65,20615,427
2020-02-05,World,3907,66,24522,493
2020-02-06,World,3751,72,28273,565
2020-02-07,World,3218,73,31491,638
2020-02-08,World,3442,86,34933,724
2020-02-09,World,2619,89,37552,813
2020-02-10,World,2988,97,40540,910
2020-02-11,World,2565,108,43105,1018
2020-02-12,World,2072,97,45177,1115
2020-02-13,World,15151,255,60328,1370
2020-02-14,World,4215,13,64543,1383
2020-02-15,World,2560,144,67103,1527
2020-02-16,World,2162,142,69265,1669
2020-02-17,World,2067,106,71332,1775
2020-02-18,World,1995,98,73327,1873
2020-02-19,World,1864,139,75191,2012
2020-02-20,World,532,116,75723,2128
2020-02-21,World,996,119,76719,2247
2020-02-22,World,1085,112,77804,2359
2020-02-23,World,1008,104,78812,2463
2020-02-24,World,527,156,79339,2619
2020-02-25,World,793,79,80132,2698
2020-02-26,World,863,64,80995,2762
2020-02-27,World,1106,38,82101,2800
2020-02-28,World,1264,57,83365,2857
2020-02-29,World,1838,64,85203,2921
2020-03-01,World,1821,58,87024,2979
2020-03-02,World,2044,67,89068,3046
2020-03-03,World,1596,72,90664,3118
2020-03-04,World,2413,84,93077,3202
2020-03-05,World,2239,80,95316,3282
2020-03-06,World,2856,103,98172,3385
2020-03-07,World,3961,103,102133,3488
2020-03-08,World,3691,97,105824,3585
2020-03-09,World,3871,229,109695,3814
2020-03-10,World,4537,209,114232,4023
2020-03-11,World,4378,269,118610,4292
2020-03-12,World,6887,326,125497,4618
2020-03-13,World,8355,351,133852,4969
2020-03-14,World,9375,438,143227,5407
2020-03-15,World,8140,354,151367,5761
2020-03-16,World,16051,746,167418,6507
2020-03-17,World,12745,596,180163,7103
2020-03-18,World,14750,789,194913,7892
2020-03-19,World,18345,951,213258,8843
2020-03-20,World,29214,1041,242472,9884
2020-03-21,World,28769,1367,271241,11251
2020-03-22,World,34029,1690,305270,12941
2020-03-23,World,33028,1660,338298,14601
2020-03-24,World,39815,1764,378113,16365
2020-03-25,World,38948,2200,417061,18565
2020-03-26,World,51223,2426,468284,20991
2020-03-27,World,59735,2681,528019,23672
2020-03-28,World,63952,3318,591971,26990
2020-03-29,World,65169,3461,657140,30451